symbol,cluster
A,4
AAL,4
AAPL,4
ABBV,4
ABT,4
ACGL,0
ACN,4
ADBE,4
ADI,4
ADM,0
ADP,4
ADSK,4
AEE,4
AEP,4
AES,2
AFL,4
AIG,2
AIZ,2
AJG,4
AKAM,1
ALB,4
ALGN,4
ALL,4
ALLE,4
AMAT,4
AMCR,4
AMD,2
AME,4
AMGN,4
AMP,4
AMT,4
AMZN,4
ANET,4
ANSS,4
AON,4
AOS,4
APA,2
APD,4
APH,4
APTV,4
ARE,4
ATO,4
AVB,2
AVGO,4
AVY,4
AWK,4
AXON,2
AXP,4
AZO,1
BA,4
BAC,4
BALL,4
BAX,4
BBWI,1
BBY,4
BDX,4
BEN,4
BF-B,4
BG,2
BIIB,4
BIO,4
BK,4
BKNG,2
BKR,2
BLDR,4
BLK,4
BMY,4
BR,4
BRK-B,4
BRO,4
BSX,4
BWA,4
BX,4
BXP,1
C,4
CAG,2
CAH,2
CAT,4
CB,4
CBOE,4
CBRE,4
CCI,4
CCL,4
CDNS,4
CDW,4
CE,4
CF,4
CFG,4
CHD,2
CHRW,4
CHTR,4
CI,4
CINF,4
CL,1
CLX,4
CMA,4
CMCSA,2
CME,4
CMG,2
CMI,4
CMS,4
CNC,4
CNP,4
COF,4
COO,4
COP,4
COR,2
CORN,2
COST,1
CPAY,4
CPB,2
CPER,4
CPRT,4
CPT,4
CRL,4
CRM,4
CSCO,4
CSGP,4
CSX,4
CTAS,4
CTLT,4
CTRA,4
CTSH,4
CVS,2
CVX,4
CZR,4
D,4
DAL,4
DBA,2
DBB,4
DBC,4
DD,4
DE,4
DECK,4
DFS,1
DG,4
DGX,2
DHI,4
DHR,4
DIA,4
DIS,2
DLR,4
DLTR,4
DOC,2
DOV,4
DPZ,2
DRI,2
DTE,4
DUK,4
DVA,2
DVN,1
DXCM,2
DXJ,4
EA,4
EBAY,4
ECL,4
ED,4
EFX,2
EG,2
EIX,3
EL,4
ELV,4
EMN,4
EMR,4
ENPH,4
EOG,4
EPAM,4
EQIX,4
EQR,4
EQT,0
ES,4
ESS,4
ETN,4
ETR,4
ETSY,4
EVRG,1
EW,4
EWJ,4
EWT,4
EWW,2
EWY,4
EXC,4
EXPD,4
EXPE,2
EXR,4
F,4
FANG,4
FAST,1
FCX,4
FDS,4
FDX,4
FE,4
FFIV,1
FI,4
FICO,4
FIS,4
FITB,4
FMC,4
FRT,1
FSLR,4
FTNT,1
FTV,4
FXI,4
GD,4
GE,2
GEN,0
GILD,4
GIS,2
GL,4
GLW,4
GM,4
GNRC,4
GOOG,4
GOOGL,4
GPC,1
GPN,4
GRMN,4
GS,4
GWW,1
GXC,4
HAL,1
HAS,2
HBAN,4
HCA,2
HD,4
HES,1
HIG,4
HII,4
HLT,4
HOLX,2
HON,4
HPE,1
HPQ,4
HRL,1
